# 界面外挂文本：键名<TAB>中文；UTF-8；\n 换行；\\ 表示反斜线。
# 格式串中的 %u、%03u、%.24s 等占位符须保持原样和顺序；格式串中百分号写为 %%。
# 原版图片内的文字不属于本表。修改后重新启动游戏生效。
common.yes	是
common.no	否
common.on	开
common.off	关
common.normal	普通
common.fast	快速
common.instant	即时
common.available	可用
common.locked	已锁定
common.cg	CG
common.movie	影片

controls.live_character	左摇杆：\n左右旋转\n操作后自动停止\n十字键：选择项目\nA：详情\nB：返回
controls.character_detail	十字键：选择项目\nA：详情\nB：返回
controls.character_list	十字键：选择\nL/R：翻页\nA：确定\nB：返回
controls.scene_replay_simple	十字键：选择\nL/R：翻页\nA：播放\nB：返回
controls.scene_replay_characters	十字键：选择\nX：上一个人物\nY：下一个人物\nL/R：翻页\nA：播放\nB：返回
controls.cg_simple	十字键：选择\nL/R：翻页\nA：确定／下一步\nB：返回
controls.cg_characters	十字键：选择\nX：上一个人物\nY：下一个人物\nL/R：翻页\nA：确定／下一步\nB：返回
controls.cg_viewer	十字键：移动\nA/Y：缩放\nX：滚动\nB：返回
controls.cg_variants	十字键：选择\nL/R：翻页\nA：确定\nB：返回
controls.replay_characters	十字键：选择\nX：上一个人物\nY：下一个人物\nL/R：翻页\nA：确定\nB：返回
controls.music	十字键：选择曲目\nA：播放\nY：停止\nB：返回
controls.video	十字键：选择影片\nA：播放\nB：返回
controls.history	十字键：选择记录\nL/R：翻页\nA：播放语音\nB：返回
controls.settings	十字键：选择/调整\nL/R：翻页\nA：确定\nB：返回
controls.navigation	十字键：移动\nA：选择场景\nY：缩放\nB：返回
controls.scene_navigation	十字键：选择\nL/R：翻页\nY：切换\nA：确定\nB：返回
controls.generic	十字键：选择\nA：确定\nB：返回
controls.area	十字键：选择目标\nA：调查／使用\nB：返回／道具
controls.bonus_game	摇杆移动\nA：连打
controls.choice	十字键：选择\nA：确定
controls.replay_menu	A：下一步\nB：菜单
controls.replay_story	A：下一步\nZL：返回正文

name.help	十字键：选择文字\nA：输入\nX：删除\nY：切换类型\nZR：确定
dialog.name_confirm	确定要这样吗？
dialog.history_reset	要删除选中的回看记录吗？
history.read	已读记录
history.choice	选项记录
history.navigation	场景导航记录
history.all	全部记录与存档

status.cg_failed	无法显示 CG
status.letter_return_failed	无法返回信件界面
status.reset_failed	初始化失败
status.replay_return_failed	无法返回回想界面
status.progress_save_failed	无法保存进度
status.name_unavailable	该名称不可用
status.name_limit	名称最多输入 5 个字符
status.name_required	请输入名称
status.scene_locked	该场景尚未解锁
status.scene_no_save	该场景没有存档
status.scene_no_replay	没有可播放的场景
status.scene_buffer_failed	场景动画缓冲分配失败
status.scene_background_failed	场景背景分配失败
status.scene_result_failed	返回值压栈失败
status.scene_thumbnail_small	回想缩略图尺寸不足
status.character_locked	人物详情尚未解锁
status.character_image_failed	无法读取人物详细图片
status.character_data_failed	无法读取人物详细数据
status.settings_assets	无法读取设置界面资源
status.settings_assets_with_back	无法读取设置界面资源\nB / Esc：返回
status.settings_save_failed	无法保存设置
status.preview_voice_load_failed	无法读取试听语音
status.preview_voice_output_failed	无法输出试听语音
status.history_assets_with_back	无法读取回看界面资源\nB / Esc：返回
status.history_draw_failed	无法绘制回看文本
status.voice_loading	正在读取语音……
status.voice_off	语音已关闭
status.save_assets	无法读取存档界面资源
status.save_preview	无法读取存档参数
status.loading	读取中……
status.load_cancelled	已取消读取
status.save_checkpoint_required	必须在对白停稳后才能保存
status.save_name_limit	最多输入 13 个全角字符
status.save_failed	保存失败（已保留旧数据）[%.24s]
status.saved	已保存
status.slot_unreadable	存档为空或无法读取
status.read_history_save_failed	无法保存已读记录
status.load_init_failed	无法初始化读取运行时
status.loading_cancel_hint	正在读取…… B／Backspace：取消
status.load_failed	读取失败，已保留当前游戏
status.save_damaged	存档不支持或已损坏
status.restoring_scene	正在恢复场景……
status.display_switching	正在切换显示……
status.display_switch_failed	切换显示失败
status.replay_returned	已返回正文
status.replay_failed	回放失败，已保留原剧情
status.replay_complete	回放完成
status.replay_merge_failed	已返回，但无法合并回放进度
status.replay_cancelled	已取消回放
status.replay_prepare_failed	无法准备回放
status.replay_init_failed	无法初始化回放
status.replay_unavailable	无法回放，已保留原剧情
status.replay_checkpoint_mismatch	检查点与当前游戏版本不匹配
status.replay_preparing	正在准备场景……
status.replay_no_checkpoint	没有匹配的已完成场景检查点。
status.gallery_resources	无法读取回看缩略图资源
status.nawa_resources	无法读取奖励菜单资源
